coffee name,coffee rating,roaster name,roaster city,coffee origin country,coffee origin city,roast level,price,aroma,acidity,body,flavor,aftertaste,species (variety),price per kg USD,roaster country
Twisted V.6 Espresso,94,JBC Coffee Roasters,Madison,Not disclosed,,Medium-Light,15.75,9,9,9,8,9,,46.29765719156942,United States of America
Aged Sumatra Ulos Batak 2015,94,Paradise Roasters,Minneapolis,Indonesia,Lintong growing region;Sumatra,Medium,18.95,9,8,9,9,9,Robusta;Typica,55.704165319380344,United States of America
Kona Uluwehi SL34,94,Paradise Roasters,Minneapolis,Hawaii,Holualoa;Kona,Medium-Light,29.95,9,9,9,9,8,SL34;Robusta,264.10934744268076,United States of America
Colombia Pink Bourbon Finca El Chaparote,94,Paradise Roasters,Minneapolis,Colombia,Huila Department,Light,14.95,9,9,9,9,8,Bourbon;Robusta,87.88947677836568,United States of America
Ethiopia Neja Fadil,94,Bird Rock Coffee Roasters,San Diego,Ethiopia,Guji Zone;Oromia Region,Medium-Light,20.0,9,8,9,9,9,Landrace,58.79067579881831,United States of America
Peru Buena Vista Valerio Almanza Ccahua,94,SkyTop Coffee,Manlius,Peru,Cusco,Medium-Light,27.0,9,9,9,9,8,,119.04761904761904,United States of America
Panama Finca Santa Teresa Lot 9,94,Old World Coffee Lab,Reno,Panama,Volcan growing region,Medium-Light,20.0,9,9,9,9,8,Caturra;Catuai,58.79067579881831,United States of America
Guatemala Cobán Chicoj Cooperative Red Honey Fair Trade,94,Small Eyes Cafe,Yilan,Guatemala,Cobán growing region,Medium-Light,10.56,9,9,9,9,8,,52.8,China
Ethiopia Halo Hartume Daniel Mijane,94,Old World Coffee Lab,Reno,Ethiopia,Yirgacheffe growing region,Medium-Light,19.0,9,9,9,9,8,Typica,55.85114200887739,United States of America
Colombia Cauca El Paraiso,96,SOT Coffee Roaster,Osaka,Colombia,Cauca,Light,429.12,9,9,9,10,9,Castillo;Caturra,4291.2,Japan
Taiwan Songyue Geisha,94,SOT Coffee Roaster,Osaka,Taiwan,Yunlin,Light,380.16,9,9,9,9,8,Geisha,7603.2,Japan
Kenya Nyeri,94,Green Stone Coffee,Taipei,Kenya,Nyeri growing region,Medium-Light,21.45,9,9,9,9,8,,95.33333333333333,Taiwan
Kenya Kirinyaga Baragwi Karumandi AA,94,Durango Coffee Company,Durango,Kenya,,Medium-Light,16.95,9,9,9,9,8,,49.82509773949852,Mexico
Harimau Tiger Sumatra,94,JBC Coffee Roasters,Madison,Indonesia,Aceh Province;Sumatra,Medium-Light,17.0,9,9,9,9,8,,49.97207442899556,United States of America
Ethiopia Sidamo Washed,95,Coffee Please,Taipei,Ethiopia,Sidama (also Sidamo) growing region,Medium-Light,12.28,9,9,9,9,9,Typica,54.09691629955947,Taiwan
Ethiopia Guji Uraga Washed,95,Coffee Please,Taipei,Ethiopia,Guji Zone,Medium-Light,8.32,9,9,9,9,9,Landrace,36.651982378854626,Taiwan
Indonesia Golden Sumatra TP Espresso,96,GK Coffee,Yilan,Indonesia,Aceh Province;Sumatra,Medium,14.85,9,9,10,9,9,,74.25,China
Kenya Gachatha,95,Temple Coffee Roasters,Sacramento,Kenya,,Medium-Light,22.5,9,9,9,9,9,,66.1395102736706,United States of America
Ethiopia Suke Quto Single-Origin Espresso,94,Temple Coffee Roasters,Sacramento,Ethiopia,Guji Zone;Oromia Region,Medium-Light,19.0,9,9,9,8,9,Landrace,55.85114200887739,United States of America
Ethiopia Gera Limu,94,Temple Coffee Roasters,Sacramento,Ethiopia,Oromia growing region,Medium-Light,19.0,9,9,9,9,8,,55.85114200887739,United States of America
Panama Pacamara Natural,94,Prairie Lily Coffee,Lloydminster;Saskatchewan,Panama,Volcan growing region,Medium-Light,36.7,9,9,9,9,8,Pacamara,183.50000000000003,Canada
Ka’u Pink Honey,94,Paradise Roasters,Minneapolis,Hawaii,"[""Ka'u District""]",Light,24.95,9,9,9,9,8,Robusta,220.0176366843033,United States of America
Kona Maragogype Pink Honey,94,Paradise Roasters,Minneapolis,Hawaii,Kainaliu;Kona District,Light,29.95,9,9,9,9,8,Robusta,264.10934744268076,United States of America
RD1 Espresso Blend,95,RD Cafe,Hsinchu,Guatemala;Ethiopia;Brazil;Indonesia,,Medium-Light,9.9,9,9,9,9,9,,43.650793650793645,Taiwan
Bull Espresso Blend,95,MoonMoon Coffee,Taipei,Guatemala;Brazil;Kenya,,Medium-Light,14.85,9,9,9,9,9,,32.709251101321584,Taiwan
Ethiopia Yirgacheffe Gotiti Natural,95,RD Cafe,Hsinchu,Ethiopia,Yirgacheffe growing region,Medium-Light,12.54,9,9,9,9,9,,55.291005291005284,Taiwan
Trust the Process — Full Natural,96,Red Rooster Coffee Roaster,Floyd,Colombia,Los Naranjos;La Argentina;Huila Department,Light,18.99,9,9,9,10,9,Caturra,83.73015873015872,United States of America
Colombia Finca El Caucho Pink Bourbon,95,Paradise Roasters,Minneapolis,Colombia,Huila,Light,16.95,9,9,9,9,9,Bourbon;Robusta,99.64726631393297,United States of America
Colombia Antioquia Natural Carbonic Maceration Caturra,95,Kakalove Cafe,Chia-Yi,Colombia,Antioquia Department,Medium-Light,10.23,9,9,9,9,9,Caturra,45.10582010582011,Taiwan
Colombia La Gallera Estate,94,Evie's Cafe,Chia-Yi,Colombia,Tolima Department,Light,20.46,9,9,9,9,8,Bourbon,90.21164021164022,Taiwan
Colombia Diofanor Ruiz,94,Plat Coffee Roastery,Hong Kong,Colombia,Quindío Department,Medium-Light,25.0,9,9,9,9,8,Castillo,146.9723691945914,China
Colombia Java El Edén Limited Edition,94,Brioso Coffee,Columbus,Colombia,Tolima,Medium-Light,30.0,9,9,9,9,8,Java,88.18601369822746,United States of America
Finca La Maria Geisha Natural,94,Blues Brew Coffee,Taipei,Colombia,Cundinamarca,Light,42.9,9,8,9,9,9,Geisha,378.3068783068783,Taiwan
