Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Myanmar,0.015,0.164,1.087,0.030,1.285,2.135,0.877,0.054,0.026,0.022,0.022,57.208,54.914,61.624,81.657,63.928,82.814,109.257,158.846,194.714,314.876,257.346,352.524,188.964,202.236,209.825,172.347,390.523,362.203,308.386
New Zealand,134.008,127.125,135.164,150.288,147.477,149.469,156.556,162.933,190.318,170.685,189.597,196.918,204.921,221.845,236.399,243.494,259.732,258.873,262.259,281.876,280.264,271.370,285.637,323.282,328.756,358.834,348.270,376.430,405.049,501.609
Oman,35.648,52.260,59.285,34.410,39.799,55.060,41.249,46.299,57.212,56.289,74.988,59.995,45.071,64.072,59.993,57.818,54.650,61.378,67.025,69.363,55.496,74.105,88.198,114.548,114.510,102.394,99.406,69.045,165.937,84.409
Pakistan,3.322,1.652,5.176,1.236,1.020,4.151,5.292,1.386,0.510,1.538,2.079,3.058,1.657,5.950,8.527,7.587,8.416,8.008,10.812,9.874,9.572,7.500,4.715,17.382,18.313,12.616,12.136,26.341,22.931,23.483
Qatar,5.178,10.582,10.665,4.723,6.731,16.151,13.284,12.117,10.644,21.230,15.209,19.019,20.103,23.695,20.806,31.697,23.281,32.430,45.014,53.845,58.191,42.264,49.448,46.460,43.691,55.332,75.035,94.826,64.961,183.125
South Korea,895.734,864.925,"1,003.551","1,079.276","1,184.877","1,102.772",996.901,"1,178.655","1,071.155","1,138.365","1,316.388","1,330.812","1,412.328","1,402.655","1,500.875","1,536.823","1,572.281","1,586.797","1,845.367","1,798.750","2,010.683","2,345.790","2,106.481","2,141.103","2,418.941","2,518.094","2,779.794","2,893.411","2,898.649","3,133.698"
Samoa,1.040,0.392,0.472,0.686,0.103,0.079,0.633,0.043,0.116,0.130,0.080,0.080,0.033,0.119,0.200,0.283,0.393,0.251,3.099,2.645,4.687,4.461,7.276,9.347,11.762,14.064,16.497,14.236,5.354,3.473
Saudi Arabia,275.053,343.124,231.872,144.232,106.936,290.589,281.120,214.726,343.904,364.853,412.747,389.227,453.655,474.200,566.133,596.263,643.841,757.964,830.550,853.945,955.336,"1,029.584","1,214.932","1,331.638","1,383.310","1,683.864","1,370.957","1,532.226","1,245.839","1,284.370"
Singapore,"1,214.442","1,099.472","1,552.275","1,614.575","1,770.217","1,041.061",862.119,"1,100.197",697.991,869.670,944.151,"1,051.883","1,118.787",990.620,"1,392.846","1,263.504","1,014.750",879.438,767.017,581.953,624.477,643.500,760.673,680.641,766.590,873.632,681.397,699.442,807.443,894.625
Solomon Islands,0.340,0.278,0.167,0.167,0.167,0.167,0.167,2.417,2.100,2.100,2.100,0.464,0.636,0.277,2.608,4.141,7.583,10.773,10.512,9.961,10.054,4.545,9.694,1.585,6.817,10.346,3.100,2.283,1.104,0.930
Syria,26.250,166.076,180.834,228.968,185.384,200.040,218.567,209.490,268.241,276.788,221.311,640.791,450.128,207.953,343.840,407.643,266.248,593.792,346.665,725.107,501.480,604.729,477.903,436.777,463.327,423.158,402.934,459.962,459.962,515.799
Taiwan,146.063,183.869,173.472,156.721,212.877,166.431,209.516,253.944,268.219,318.087,402.151,442.719,478.346,490.865,360.503,324.579,295.276,358.080,319.068,359.962,453.220,469.793,475.895,557.093,583.186,667.261,697.808,850.946,789.332,833.776
Tajikistan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.377
Tonga,0.145,0.250,0.222,0.302,0.416,0.195,0.428,0.231,0.321,0.365,0.837,1.106,0.785,0.653,0.347,0.723,1.074,3.395,1.456,2.020,1.674,1.807,1.772,2.086,0.971,1.294,1.300,0.518,1.248,0.104
Turkey,140.372,164.592,171.272,219.622,142.392,201.013,251.850,252.983,295.810,268.027,291.637,294.277,363.152,372.243,410.736,472.433,509.354,530.006,499.656,533.633,625.369,656.460,723.350,841.975,986.685,"1,248.747","1,191.738","1,474.314","1,463.964","1,862.998"
United Arab Emirates,79.269,93.757,116.548,102.915,93.703,114.969,137.796,124.854,174.653,91.782,189.208,246.827,241.272,224.793,299.017,356.721,317.686,324.141,319.935,345.393,296.145,349.936,369.391,468.311,463.125,530.430,605.800,845.038,"1,118.321","1,351.872"
Uzbekistan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.823,119.627
Vanuatu,0.411,0.269,0.578,0.352,0.454,0.318,0.417,0.530,0.211,0.291,0.920,0.394,0.419,1.919,0.358,0.989,0.386,1.336,1.272,0.806,1.568,1.558,0.941,1.778,1.580,1.483,1.615,3.637,6.124,2.180
Anguilla,0.009,0.055,0.079,0.330,0.300,0.037,0.032,0.349,0.841,0.669,0.762,0.763,0.876,0.740,0.694,0.470,0.530,0.411,0.614,0.917,0.981,0.390,0.506,0.400,0.494,0.319,0.315,0.215,0.359,0.354
Antigua and Barbuda,0.718,0.602,0.303,0.261,0.321,0.332,0.107,1.103,0.170,0.186,1.019,1.088,0.453,0.693,0.552,1.105,1.139,1.380,1.336,1.714,1.950,3.443,3.459,2.165,2.090,2.833,1.862,4.492,4.445,5.282
